,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Hemline,Knit or Woven,Surface Styling,Transparency,Type,specifications,Lining,Number of Pockets,Occasion,Slit Detail
0,HERE&amp;NOW,Blooming Beauty Tiered Maxi Skirt,Rs. 719,,Maxi,,,Floral,Drawstring,,,,4914118,Flared,Knitted,Gathered or Pleated,Opaque,Flared,{},,,,
1,SASSAFRAS,Women Burgundy Accordian Pleat Maxi Flared Skirt,Rs. 639,,Maxi,,,Solid,Slip-On,,,,10308667,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
2,Reebok,Women Black Epic 2-1 Regular Fit Self-Checked Training Shorts,Rs. 2249,Mid-Rise,Above Knee,Slim Fit,,Checked,Drawstring,,,,11574224,,,,,Sports Shorts,{},,2,Sports,
3,Varanga,Women Off White Cotton Printed Maxi Skirt,Rs. 689,,Maxi,,,Geometric,Drawstring,,,,7200118,Flared,Woven,Tie-Ups,Opaque,Flared,{},,,,
4,KASSUALLY,Women Pink &amp; Black Colourblocked Pleated A-Line Skirt,Rs. 759,,Midi,,,Colourblocked,Slip-On,,,,12395272,Flared,Woven,Gathered or Pleated,,A-Line,{},,,,No Slit
5,Roadster,Women Black Washed Regular Fit Raw Hem Denim Shorts,Rs. 559,Mid-Rise,Above Knee,Regular Fit,,Washed,Drawstring,,,,11541730,,,,,Denim Shorts,{},,4,Casual,
6,Varanga,Women Magenta &amp; Golden Khadi Print Flared Maxi Skirt,Rs. 883,,Maxi,,,Floral,Zip,,,,10653784,Flared,Woven,Gathered or Pleated,,Flared,{},,,,No Slit
7,Varanga,Women Pink and Blue Dyed Maxi Flared Skirt,Rs. 739,,Maxi,,,Tie and Dye,Slip-On,,,,11494284,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
8,Besiva,Women Black Solid Regular Fit Hot Pants,Rs. 799,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12510526,,Knitted,,,Hot Pants,{},,,Casual,
9,Varanga,Women Lime Green &amp; Blue Dyed Flared Maxi Skirt,Rs. 579,,Maxi,,,Tie and Dye,Drawstring,,,,11299834,Flared,Woven,Gathered or Pleated,Opaque,Flared,{},,,,
10,SASSAFRAS,Women Pink Accordion Pleated Velvet Finish Flared Skirt,Rs. 679,,Knee Length,,,Solid,Slip-On,,,,10861470,Flared,Knitted,Gathered or Pleated,Opaque,Flared,{},,,,
11,Berrylush,Layered Drama Pant &amp; Maxi Skirt,Rs. 903,,Maxi,,,Floral,Slip-On,,,,10393147,Flared,Woven,,Opaque,Flared,{},,,Casual,
12,Besiva,Women Blue Solid Regular Fit Hot Pants,Rs. 799,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12510528,,Knitted,,,Hot Pants,{},,,Casual,
13,Bitterlime,Women Black Solid Midi A-line Skirt,Rs. 599,,Midi,,,Solid,Slip-On,,,,8224951,Flared,Woven,,,Flared,{},Has a lining,,,Front Slit
14,anayna,Anayna Women Teal Blue &amp; Red Printed Flared Maxi Skirt,Rs. 839,,Maxi,,,Floral,Drawstring,,,,10698570,Flared,Woven,,Opaque,Flared,{},,,,No Slit
15,Alcis,Women Black Solid Slim Fit Outdoor Shorts,Rs. 649,Mid-Rise,Knee Length,Slim Fit,,Solid,Slip-On,,,,12383306,,Knitted,,,Sports Shorts,{},,,Sports,
16,Ira Soleil,Pink Floral Block Print Flared Maxi Skirt,Rs. 869,,Maxi,,,Floral,Slip-On,,,,1764314,Flared,Woven,,,Flared,{},Has a lining,,,No Slit
17,SASSAFRAS,Navy Blue Maxi Skirt with Suspenders,Rs. 599,,Maxi,,,Solid,Button,,,,5649853,Flared,Woven,Gathered or Pleated,,A-Line,{},Has a lining,,,
18,VividArtsy,Women Charcoal Grey Solid Regular Shorts,Rs. 799,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12739602,,Knitted,,,Regular Shorts,{},,,Casual,
19,An Episode,Women Black &amp; Beige Leopard Print Regular Fit Shorts,Rs. 299,Mid-Rise,Above Knee,Regular Fit,,Animal,Drawstring,,,,11560730,,,,,Regular Shorts,{},,2,Casual,
20,SASSAFRAS,Women Pink &amp; Rust Red Printed A-Line Panelled Skirt,Rs. 599,,Midi,,,Floral,Slip-On,,,,10833328,Flared,Woven,Sheer,,A-Line,{},Has a lining,,,
21,Varanga,Women Pink and Yellow Dyed Maxi Flared Skirt,Rs. 779,,Maxi,,,Tie and Dye,Drawstring,,,,10425960,Flared,Woven,,Opaque,Flared,{},,,,No Slit
22,Clora Creation,Women Mustard Yellow Checked Flared Maxi Skirt,Rs. 989,,Maxi,,,Geometric,Drawstring,,,,12332754,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
23,Marks &amp; Spencer,Women Beige Solid Regular Fit Regular Shorts,Rs. 1199,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,10408115,,,,,Regular Shorts,{},,2,Casual,
24,SASSAFRAS,Women Olive Green &amp; Black Camouflage Print Mini Skirt,Rs. 479,,Mini,,,Camouflage,Zip,,,,7413767,Straight,Woven,,Opaque,Straight,{},,,Casual,
25,Roadster,Women Blue Denim Shorts,Rs. 499,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,1814854,,,,,Denim Shorts,{},,5,Casual,
26,HRX by Hrithik Roshan,Women Moonlit Ocean Solid Regular Fit Rapid-Dry Running Shorts,Rs. 659,Mid-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,11357430,,,,,Sports Shorts,{},,2,Sports,
27,SASSAFRAS,Women Yellow Accordian Pleated Satin Finish Maxi Flared Skirt,Rs. 699,,Maxi,,,Solid,Zip,,,,10861466,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
28,Varanga,Women Multi-Coloured Phulkari Printed Tiered Flared Maxi Skirt,Rs. 779,,Maxi,,,Floral,Slip-On,,,,12124084,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
29,VividArtsy,Women Black Solid Shorts,Rs. 849,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12739586,,,,,Regular Shorts,{},,2,Casual,
30,Roadster,Women Navy Blue Washed Regular Fit Denim Shorts,Rs. 454,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11688438,,,,,Denim Shorts,{},,5,Casual,
31,Deal Jeans,Women Navy Blue Washed Slim Fit Denim Shorts,Rs. 1139,Mid-Rise,Above Knee,Slim Fit,,Solid,Button,,,,12791550,,,,,Denim Shorts,{},,2,Casual,
32,SASSAFRAS,Women Pink Accordian Pleated Maxi Satin Finish Flared Maxi Skirt,Rs. 699,,Maxi,,,Solid,Zip,,,,10861480,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
33,Athena,Women Black Solid Regular Fit Shorts,Rs. 519,Mid-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,12035320,,,,,Regular Shorts,{},,2,Casual,
34,VividArtsy,Women Grey Melange Solid Shorts,Rs. 849,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,12739610,,,,,Regular Shorts,{},,2,Casual,
35,Inddus,Women Navy Blue &amp; White Chevron Printed Maxi Flared Skirt,Rs. 1664,,Maxi,,,Geometric,Drawstring,,,,12068030,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
36,Ira Soleil,Women Pink &amp; Gold-Toned Foil Printed Flared Maxi Skirt,Rs. 999,,Maxi,,,Floral,Zip,,,,10999576,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
37,H&amp;M,Women Black Cotton Jersey Cycling Shorts,Rs. 699,High-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,12696136,,Knitted,,,Sports Shorts,{},,,Casual,
38,Roadster,Women Black Washed Denim Straight Skirt,Rs. 664,,Knee Length,,,Washed,Button,,,,10058513,Asymmetric,Woven,,Opaque,Straight,{},,,,Front Slit
39,SASSAFRAS,Women Dusty Pink Solid Midi A-Line Skirt,Rs. 769,,Midi,,,Solid,Button,,,,7687290,Flared,Woven,,Opaque,A-Line,{},,,,Front Slit
40,Varanga,Women Coral Pink &amp; Gold Self Design High-Rise Silk Maxi Skirt,Rs. 999,,Maxi,,,Self Design,Drawstring,,,,11034852,Flared,Woven,,,Flared,{},Has a lining,,,No Slit
41,HERE&amp;NOW,Women Rust Orange Solid Regular Fit Regular Shorts with Side Stripes,Rs. 454,Mid-Rise,Above Knee,Regular Fit,,Solid,Zip,,,,11715050,,,,,Regular Shorts,{},,4,Casual,
42,Roadster,Women Blue Washed Regular Fit Denim Shorts,Rs. 499,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,11118580,,,,,Denim Shorts,{},,5,Casual,
43,RARE ROOTS,RARE Women Maroon Solid Maxi Skirt,Rs. 919,,Maxi,,,Solid,Zip,,,,8879717,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
44,WISSTLER,Women Black Printed Regular Fit Regular Shorts,Rs. 395,Mid-Rise,Above Knee,Regular Fit,,Graphic,Drawstring,,,,7030403,,Woven,,,Regular Shorts,{},,,Casual,
45,Biba,Women Rust Red &amp; Golden Printed Maxi Flared Skirt,Rs. 2519,,Maxi,,,Floral,Drawstring,,,,10556036,Flared,Woven,Tie-Ups,,Flared,{},Has a lining,,,
46,Roadster,Women Navy Blue Solid Regular Fit Denim Shorts,Rs. 559,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,11541732,,,,,Denim Shorts,{},,4,Casual,
47,WISSTLER,Women Navy &amp; Pink Chevron Print Regular Fit Shorts,Rs. 395,Mid-Rise,Above Knee,Regular Fit,,Geometric,Drawstring,,,,2017530,,Woven,,,Regular Shorts,{},,,Casual,
48,N-Gal,Women Black Solid Flared Mini Skirt,Rs. 799,,Mini,,,Solid,Slip-On,,,,9660071,Straight,Knitted,,Opaque,Flared,{},,,,No Slit
49,Berrylush,Maroon Solid Ruffled Flared Maxi Skirt with Attached Trousers,Rs. 819,,Maxi,,,Solid,Drawstring,,,,5125423,High-Low,Woven,Gathered or Pleated,,Flared,{},,,,Front Slit
50,Ira Soleil,Women Black Printed Flared Reversible Maxi Skirt,Rs. 1091,,Maxi,,,Floral,Zip,,,,10374837,Flared,Woven,Layered,,Flared,{},Has a lining,,,
51,H&amp;M,Women Black Cotton Jersey Cycling Shorts,Rs. 699,High-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,12696136,,Knitted,,,Sports Shorts,{},,,Casual,
52,Inddus,Women Peach-Coloured Solid Layered Maxi Flared Skirt,Rs. 1590,,Maxi,,,Solid,Button,,,,11615250,Flared,Woven,Layered,,Flared,{},Has a lining,,,
53,WISSTLER,Women Blue Printed Regular Fit Shorts,Rs. 395,Mid-Rise,Above Knee,Regular Fit,,Abstract,Drawstring,,,,11101312,,Woven,,,Regular Shorts,{},,,Casual,
54,HERE&amp;NOW,Women Rust Orange Solid Regular Fit Regular Shorts with Side Stripes,Rs. 454,Mid-Rise,Above Knee,Regular Fit,,Solid,Zip,,,,11715050,,,,,Regular Shorts,{},,4,Casual,
55,Popnetic,Women Brown Solid Straight Skirt,Rs. 559,,Mini,,,Solid,Button,,,,9404677,Asymmetric,Woven,,Opaque,Straight,{},,,Casual,
56,Roadster,Women Navy Blue Solid Regular Fit Denim Shorts,Rs. 559,Mid-Rise,Above Knee,Regular Fit,,Solid,Drawstring,,,,11541732,,,,,Denim Shorts,{},,4,Casual,
57,Varanga,Women Pink and Blue Dyed Maxi Flared Skirt,Rs. 739,,Maxi,,,Tie and Dye,Slip-On,,,,11494284,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
58,Zastraa,Women Black Solid Loose Fit Regular Shorts,Rs. 689,High-Rise,Above Knee,Loose Fit,,Solid,Button,,,,10606448,,,,,Regular Shorts,{},,2,Casual,
59,ONLY,Women Black Solid Slim Fit Denim Shorts,Rs. 629,Mid-Rise,Above Knee,Slim Fit,,Solid,Button,,,,8092823,,,,,Denim Shorts,{},,3,Casual,
60,Sera,Women Black &amp; Off-White Printed Flared Skirt,Rs. 647,,Mini,,,Floral,Zip,,,,7467729,Flared,Woven,,Opaque,Flared,{},Has a lining,,,
61,Roadster,Women Blue Washed Regular Fit Denim Shorts,Rs. 389,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11688500,,,,,Denim Shorts,{},,5,Casual,
62,MIAMINX,Women Rust Red Solid Pleated Skirt,Rs. 1155,,Knee Length,,,Solid,Zip,,,,10167041,Flared,Woven,Gathered or Pleated,Opaque,A-Line,{},,,,
63,ADIDAS,Women Black Solid Design 2 Move 3-Stripes KT Shorts,Rs. 1439,Mid-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,11529494,,,,,Sports Shorts,{},,1,Sports,
64,Ira Soleil,Women Blue Printed Reversible Flared Maxi Skirt,Rs. 1130,,Maxi,,,Floral,Slip-On,,,,8532089,Flared,Woven,,Opaque,Flared,{},Has a lining,,,
65,Alcis,Women Black Solid Slim Fit Outdoor Shorts,Rs. 649,Mid-Rise,Knee Length,Slim Fit,,Solid,Slip-On,,,,12383306,,Knitted,,,Sports Shorts,{},,,Sports,
66,Berrylush,Women Maroon Solid Flared Maxi Skirt,Rs. 703,,Maxi,,,Solid,Zip,,,,11134036,Flared,Woven,Tie-Ups,Opaque,Flared,{},,,,
67,Roadster,Women Blue Solid Regular Fit Denim Shorts,Rs. 584,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,11118426,,,,,Denim Shorts,{},,5,Casual,
68,SASSAFRAS,Women Fluorescent Green Solid Accordion Pleated A-Line Skirt,Rs. 639,,Knee Length,,,Solid,Slip-On,,,,11514710,Flared,Woven,Gathered or Pleated,,A-Line,{},,,,No Slit
69,Ira Soleil,Women Black &amp; Rose-Gold Toned Printed Flared Maxi Skirt,Rs. 1052,,Maxi,,,Floral,Zip,,,,11159506,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
70,max,Women Blue Washed Regular Fit Denim Shorts,Rs. 799,Mid-Rise,Knee Length,Regular Fit,,Washed,Button,,,,12713332,,,,,Denim Shorts,{},,5,Casual,
71,Purple Feather,Black Pencil Skirt,Rs. 509,,Knee Length,,,,Zip,,,,1294879,Straight,Knitted and Woven,,,Pencil,{},,,Formal,
72,Varanga,Women Rust Orange  &amp; Mustard Yellow Dyed Tiered Flared Maxi Skirt,Rs. 791,,Maxi,,,Tie and Dye,Drawstring,,,,12124094,Flared,Woven,Tie-Ups,Opaque,Flared,{},,,,
73,Marks &amp; Spencer,Women Beige Solid Regular Fit Regular Shorts,Rs. 1199,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,10408115,,,,,Regular Shorts,{},,2,Casual,
74,Inddus,Women Teal Blue Solid Georgette Ruffle Tiered Skirt,Rs. 1664,,Maxi,,,Solid,Button,,,,11387440,Flared,Woven,Gathered or Pleated,,Tiered,{},Has a lining,,,
75,Roadster,Women Blue Regular Fit Washed Faded Denim Shorts,Rs. 499,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11118602,,,,,Denim Shorts,{},,5,Casual,
76,Varanga,Women Off-White Solid Maxi Tiered Skirt with Gotta Patti Detail,Rs. 987,,Maxi,,,Solid,Slip-On,,,,12253014,Flared,Woven,Gathered or Pleated,,Tiered,{},Has a lining,,,
77,Roadster,Women Navy Blue Washed Regular Fit Denim Shorts,Rs. 454,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11688506,,,,,Denim Shorts,{},,5,Casual,
78,SASSAFRAS,Women Pink Solid Accordion Pleated Satin Finish Flared Midi Skirt,Rs. 1099,,Midi,,,Solid,Slip-On,,,,12541594,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
79,Popnetic,Women Black Solid Wrap Skirt,Rs. 559,,Mini,,,Solid,Button,,,,9404673,Asymmetric,Woven,,Opaque,Wrap,{},,,,Front Slit
80,Inddus,Women Pink &amp; Red Dual-Toned Foil Print Striped Flared Maxi Skirt,Rs. 1469,,Maxi,,,Striped,Zip,,,,10746180,Flared,Woven,,,Flared,{},Has a lining,,,No Slit
81,Deal Jeans,Women Navy Blue Washed Slim Fit Denim Shorts,Rs. 1139,Mid-Rise,Above Knee,Slim Fit,,Solid,Button,,,,12791550,,,,,Denim Shorts,{},,2,Casual,
82,Varanga,Women Black Cotton Printed Maxi Skirt,Rs. 689,,Maxi,,,Geometric,Drawstring,,,,7200121,Flared,Woven,Tie-Ups,Opaque,Flared,{},,,,
83,Zastraa,Women White &amp; Black Striped Regular Fit Shorts,Rs. 499,High-Rise,Above Knee,Regular Fit,,Striped,Slip-On,,,,9358835,,,,,Regular Shorts,{},,2,Casual,
84,Berrylush,Women Navy Blue Solid Bow-Tie High-Waist Maxi Skirt,Rs. 703,,Maxi,,,Solid,Zip,,,,11125522,Flared,Woven,,Opaque,Flared,{},,,Party,
85,Roadster,Women Charcoal Grey Acid Wash Regular Fit Denim Shorts,Rs. 389,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11688418,,,,,Denim Shorts,{},,5,Casual,
86,Global Desi,Women Navy Blue &amp; Gold-Toned Printed Flared Maxi Skirt,Rs. 1439,,Maxi,,,Floral,Zip,,,,10789420,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
87,Cultsport,Women Navy Blue Solid Regular Fit Running Sports Shorts,Rs. 769,Mid-Rise,Above Knee,Regular Fit,,Solid,Slip-On,,,,10609008,,Woven,,,Sports Shorts,{},,,Sports,
88,Just Wow,Women Peach-Coloured Solid Net Flared Maxi Party Wear Skirt,Rs. 1289,,Maxi,,,Solid,Zip,,,,11377652,Flared,Woven,,Opaque,Flared,{},Has a lining,,,
89,Varanga,Women Black &amp; Golden Printed Maxi Flared Skirt,Rs. 749,,Maxi,,,Geometric,Drawstring,,,,11049246,Flared,Woven,Gathered or Pleated,Opaque,Flared,{},,,,
90,Moda Rapido,Women Black &amp; Golden Printed Flared Maxi Skirt,Rs. 1099,,Maxi,,,Geometric,Drawstring,,,,8687397,Flared,Woven,Gathered or Pleated,,Flared,{},,,,No Slit
91,Trend Arrest,Women Blue Washed Loose Fit Denim Shorts,Rs. 899,High-Rise,Above Knee,Loose Fit,,Washed,Button,,,,10412916,,,,,Denim Shorts,{},,2,Casual,
92,Berrylush,Women Yellow Solid Flared Maxi Skirt,Rs. 703,,Maxi,,,Solid,Zip,,,,12206326,Flared,Woven,Gathered or Pleated,Opaque,Flared,{},,,,
93,Varanga,Women Black &amp; Golden-Toned Printed Flared Maxi Skirt,Rs. 883,,Maxi,,,Floral,Drawstring,,,,11462070,Flared,Woven,Gathered or Pleated,Opaque,Flared,{},,,,
94,anayna,Women Black &amp; Beige Printed Flared Maxi Skirt,Rs. 999,,Maxi,,,Floral,Drawstring,,,,11227214,Flared,Woven,,,Flared,{},Has a lining,,,No Slit
95,SASSAFRAS,Women Green &amp; Pink Printed Accordian Pleated A-Line Skirt,Rs. 719,,Knee Length,,,Floral,Slip-On,,,,11364390,Flared,Woven,Gathered or Pleated,,A-Line,{},,,,No Slit
96,DressBerry,Women Pink Schiffli Embroidered A-Line Skirt,Rs. 624,,Mini,,,Self Design,Zip,,,,11272204,Flared,Woven,Embroidered,,A-Line,{},Has a lining,,,
97,Alsace Lorraine Paris,Women Burgundy &amp; Peach-Coloured Floral Printed Regular Fit Shorts,Rs. 599,Mid-Rise,Above Knee,Regular Fit,,Floral,Zip,,,,11649162,,Woven,,,Regular Shorts,{},,,Casual,
98,Tokyo Talkies,Women Blue Solid Denim Mini A-Line Skirt,Rs. 612,,Mini,,,Solid,Button,,,,12391770,Straight,Woven,Distressed,Opaque,A-Line,{},,,,
99,Clora Creation,Women Red Printed Flared Maxi Skirt,Rs. 1049,,Maxi,,,Self Design,Drawstring,,,,10466114,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
100,Clora Creation,Women Cream-Coloured &amp; Gold-Toned Printed Flared Maxi Skirt,Rs. 993,,Maxi,,,Floral,Drawstring,,,,11627860,Flared,Knitted,,Opaque,Flared,{},,,,No Slit
101,Indietoga,Women Black Checked Loose Fit Regular Shorts,Rs. 1999,High-Rise,Above Knee,Loose Fit,,Checked,Slip-On,,,,10790918,,,,,Regular Shorts,{},,2,Casual,
102,Roadster,Women Black Washed Distressed Regular Fit Denim Shorts,Rs. 454,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11688440,,,,,Denim Shorts,{},,5,Casual,
103,Varanga,Women Coral Orange &amp; Golden Banarasi Silk Self-Design Flared Maxi Skirt,Rs. 1439,,Maxi,,,Self Design,Drawstring,,,,10653786,Flared,Woven,Tie-Ups,,Flared,{},Has a lining,,,
104,Mast &amp; Harbour,Women White Solid Regular Fit Denim Shorts,Rs. 639,Mid-Rise,Above Knee,Regular Fit,,Solid,Button,,,,2175664,,,,,Denim Shorts,{},,5,Casual,
105,Vero Moda,Women Black &amp; Silver Embellished Pencil Skirt,Rs. 1049,,Mini,,,Embellished,Zip,,,,10795834,Straight,Woven,Embellished,,Pencil,{},Has a lining,,,
106,Tokyo Talkies,Women Blue Solid A-Line Skirt,Rs. 359,,Knee Length,,,Solid,Zip,,,,12437634,Flared,Woven,,Opaque,A-Line,{},,,,No Slit
107,Varanga,Women Pink and Blue Dyed Maxi Flared Skirt,Rs. 739,,Maxi,,,Tie and Dye,Slip-On,,,,11494284,Flared,Woven,,Opaque,Flared,{},,,Ethnic,
108,SASSAFRAS,Women Red Solid Accordion Pleated Satin Finish Maxi Flared Skirt,Rs. 1319,,Maxi,,,Solid,Zip,,,,12541612,Flared,Woven,Gathered or Pleated,,Flared,{},Has a lining,,,
109,Just Wow,Women Black Solid Flared Maxi Skirt,Rs. 1049,,Maxi,,,Solid,Zip,,,,8772717,Flared,Woven,,,Flared,{},Has a lining,,,No Slit
110,MABISH by Sonal Jain,Women Beige Solid Maxi Wrap Skirt,Rs. 792,,Maxi,,,Solid,Zip,,,,9864285,Tulip,Woven,Tie-Ups,,Wrap,{},,,,No Slit
111,SASSAFRAS,Off-White Maxi Skirt with Suspenders,Rs. 599,,Maxi,,,Solid,Button,,,,5649889,Flared,Woven,Gathered or Pleated,,A-Line,{},,,,Front Slit
112,Roadster,Women Blue Washed Regular Fit Denim Shorts,Rs. 349,Mid-Rise,Above Knee,Regular Fit,,Washed,Button,,,,11541508,,,,,Denim Shorts,{},,5,Casual,
113,STREET 9,Women Black &amp; Red Printed Maxi Wrap Skirt,Rs. 849,,Maxi,,,Floral,Zip,,,,12222484,High-Low,Woven,Tie-Ups,Opaque,Wrap,{},,,,
